"","x"
"1",0.022
"2",0.172
"3",0.034
"4",0.044
"5",0.264
"6",0.044
"7",0.638
"8",0.1
"9",0.1
"10",0.096
"11",0.014
"12",0.082
"13",0.108
"14",0.094
"15",0.202
"16",0.276
"17",0.044
"18",0.084
"19",0.01
"20",0
"21",0.116
"22",0.098
"23",0.248
"24",0.062
"25",0.172
"26",0.182
"27",0.076
"28",0.098
"29",0.088
"30",0.026
"31",0.098
"32",0.156
"33",0.184
"34",0.014
"35",0.03
"36",0.02
"37",0.162
"38",0.328
"39",0.052
"40",0.044
"41",0.004
"42",0.086
"43",0.23
"44",0.298
"45",0.006
"46",0.054
"47",0.118
"48",0.3
"49",0.07
"50",0.082
"51",0.09
"52",0.032
"53",0.126
"54",0.136
"55",0.07
"56",0.088
"57",0.24
"58",0.17
"59",0.004
"60",0.22
"61",0.174
"62",0.08
"63",0.004
"64",0.018
"65",0.034
"66",0.218
"67",0.384
"68",0.076
"69",0.09
"70",0.058
"71",0.098
"72",0.016
"73",0.056
"74",0.04
"75",0.364
"76",0.044
"77",0.116
"78",0.094
"79",0.016
"80",0.134
"81",0.016
"82",0.122
"83",0.258
"84",0.036
"85",0.044
"86",0.024
"87",0.224
"88",0.01
"89",0.018
"90",0.212
"91",0.018
"92",0.096
"93",0.112
"94",0.024
"95",0.006
"96",0.088
"97",0.024
"98",0.164
"99",0.09
"100",0.178
"101",0
"102",0.336
"103",0.002
"104",0.036
"105",0.022
"106",0.244
"107",0.07
"108",0.03
"109",0.096
"110",0.008
"111",0.152
"112",0.02
"113",0.016
"114",0.018
"115",0.09
"116",0.454
"117",0.018
"118",0.016
"119",0.012
"120",0.074
"121",0
"122",0.04
"123",0.034
"124",0.086
"125",0.092
"126",0.068
"127",0.134
"128",0.116
"129",0.142
"130",0.09
"131",0.052
"132",0.022
"133",0.002
"134",0.006
"135",0.106
"136",0.012
"137",0.008
"138",0.026
"139",0.066
"140",0.106
"141",0.096
"142",0.03
"143",0
"144",0.022
"145",0.024
"146",0.028
"147",0
"148",0.016
"149",0.074
"150",0.26
"151",0.146
"152",0.052
"153",0
"154",0.08
"155",0.004
"156",0.318
"157",0.054
"158",0.066
"159",0.038
"160",0.144
"161",0.276
"162",0.028
"163",0.048
"164",0.026
"165",0.008
"166",0.068
"167",0.154
"168",0.03
"169",0.164
"170",0.018
"171",0.032
"172",0.05
"173",0.042
"174",0
"175",0.064
"176",0.152
"177",0.044
"178",0.016
"179",0
"180",0.058
"181",0.094
"182",0
"183",0.398
"184",0.158
"185",0.162
"186",0.038
"187",0.074
"188",0.016
"189",0.054
"190",0.01
"191",0.176
"192",0.004
"193",0.024
"194",0.092
"195",0.02
"196",0
"197",0.426
"198",0.046
"199",0.156
"200",0.084
"201",0.364
"202",0.054
"203",0
"204",0.024
"205",0.458
"206",0.026
"207",0.17
"208",0.062
"209",0.02
"210",0.032
"211",0.018
"212",0.008
"213",0.018
"214",0.066
"215",0.172
"216",0.01
"217",0.096
"218",0.036
"219",0.172
"220",0
"221",0.066
"222",0.016
"223",0.032
"224",0.032
"225",0.092
"226",0.236
"227",0.286
"228",0.01
"229",0.324
"230",0.008
"231",0.018
"232",0.04
"233",0.01
"234",0.022
"235",0.138
"236",0.25
"237",0.022
"238",0.004
"239",0.08
"240",0.056
"241",0.032
"242",0.012
"243",0.01
"244",0.108
"245",0.09
"246",0
"247",0.02
"248",0.016
"249",0.022
"250",0.084
"251",0.852
"252",0.064
"253",0.002
"254",0.076
"255",0.02
"256",0.074
"257",0.026
"258",0.078
"259",0.016
"260",0.324
"261",0
"262",0.038
"263",0.132
"264",0.04
"265",0.042
"266",0.018
"267",0.07
"268",0.032
"269",0.074
"270",0.03
"271",0.014
"272",0.134
"273",0.106
"274",0.106
"275",0
"276",0
"277",0.144
"278",0.268
"279",0
"280",0.218
"281",0.038
"282",0.114
"283",0.144
"284",0.072
"285",0.154
"286",0.018
"287",0.01
"288",0.106
"289",0.086
"290",0.278
"291",0
"292",0.002
"293",0.076
"294",0.024
"295",0.016
"296",0.07
"297",0.284
"298",0.02
"299",0.014
"300",0.022
"301",0.172
"302",0.268
"303",0.036
"304",0.112
"305",0.026
"306",0.298
"307",0.06
"308",0.01
"309",0.088
"310",0.022
"311",0.214
"312",0.072
"313",0.06
"314",0.068
"315",0.062
"316",0.014
"317",0.032
"318",0.034
"319",0.02
"320",0
"321",0.022
"322",0.018
"323",0.052
"324",0
"325",0.048
"326",0.05
"327",0.108
"328",0.026
"329",0.108
"330",0.002
"331",0.486
"332",0.08
"333",0.012
"334",0.224
"335",0.14
"336",0.156
"337",0.064
"338",0.06
"339",0.144
"340",0.046
"341",0.148
"342",0
"343",0.184
"344",0
"345",0.502
"346",0.024
"347",0.16
"348",0.006
"349",0.01
"350",0
"351",0.06
"352",0.328
"353",0
"354",0.326
"355",0.072
"356",0.048
"357",0.014
"358",0
"359",0
"360",0.222
"361",0.132
"362",0.056
"363",0.54
"364",0.028
"365",0.024
"366",0.018
"367",0.022
"368",0.082
"369",0.098
"370",0.034
"371",0.01
"372",0.042
"373",0.116
"374",0.07
"375",0.042
"376",0.08
"377",0
"378",0
"379",0.034
"380",0.062
"381",0.032
"382",0.122
"383",0.008
"384",0.042
"385",0.04
"386",0.334
"387",0.272
"388",0.114
"389",0.068
"390",0.294
"391",0.048
"392",0.178
"393",0.058
"394",0.014
"395",0.03
"396",0.052
"397",0.04
"398",0.022
"399",0.132
"400",0.212
"401",0.07
"402",0.098
"403",0.03
"404",0.012
"405",0
"406",0.106
"407",0
"408",0.014
"409",0.336
"410",0.026
"411",0.192
"412",0.014
"413",0.018
"414",0.012
"415",0.018
"416",0
"417",0.142
"418",0.082
"419",0.03
"420",0.032
"421",0.088
"422",0.054
"423",0.12
"424",0
"425",0.024
"426",0.058
"427",0.014
"428",0.016
"429",0.252
"430",0.068
"431",0.06
"432",0.152
"433",0.022
"434",0.102
"435",0.008
"436",0
"437",0.162
"438",0.104
"439",0.048
"440",0.356
"441",0.13
"442",0.078
"443",0.012
"444",0.098
"445",0.212
"446",0.052
"447",0.106
"448",0.07
"449",0.028
"450",0.356
"451",0.1
"452",0.038
"453",0.004
"454",0.066
"455",0.124
"456",0.026
"457",0.026
"458",0.048
"459",0.012
"460",0.018
"461",0.056
"462",0.014
"463",0.01
"464",0.06
"465",0.056
"466",0.308
"467",0.02
"468",0.092
"469",0.028
"470",0.13
"471",0.112
"472",0.008
"473",0.27
"474",0.008
"475",0.006
"476",0.018
"477",0.044
"478",0.034
"479",0.022
"480",0.01
"481",0.14
"482",0.104
"483",0.038
"484",0.138
"485",0.026
"486",0.02
"487",0.074
"488",0.152
"489",0
"490",0.03
"491",0
"492",0.02
"493",0.042
"494",0.018
"495",0.156
"496",0.03
"497",0.194
"498",0
"499",0.024
"500",0.042
"501",0.062
"502",0.116
"503",0.026
"504",0.066
"505",0.016
"506",0.116
"507",0.01
"508",0.038
"509",0.166
"510",0.044
"511",0.02
"512",0.042
"513",0.156
"514",0.026
"515",0.054
"516",0.084
"517",0.05
"518",0.176
"519",0.012
"520",0.04
"521",0.088
"522",0.108
"523",0.136
"524",0
"525",0.042
"526",0.034
"527",0.02
"528",0.234
"529",0.292
"530",0.13
"531",0.012
"532",0.154
"533",0.04
"534",0
"535",0.106
"536",0.088
"537",0.018
"538",0.026
"539",0.028
"540",0.106
"541",0.02
"542",0.158
"543",0.048
"544",0.084
"545",0.118
"546",0.054
"547",0.132
"548",0.014
"549",0.01
"550",0.014
"551",0.09
"552",0.004
"553",0.098
"554",0.032
"555",0.014
"556",0.128
"557",0.024
"558",0.156
"559",0.096
"560",0
"561",0.086
"562",0
"563",0.12
"564",0.016
"565",0.164
"566",0.024
"567",0.01
"568",0.062
"569",0.022
"570",0.01
"571",0.926
