"","x"
"1",0
"2",0.572
"3",0.304
"4",0.828
"5",0.652
"6",0.996
"7",0.356
"8",0.354
"9",0.068
"10",0.954
"11",0.824
"12",0.87
"13",0.13
"14",0.006
"15",0.362
"16",0.612
"17",0.752
"18",0.47
"19",0.462
"20",0.394
"21",0.714
"22",0.534
"23",0.094
"24",0.006
"25",0.158
"26",0.98
"27",0.496
"28",0.304
"29",0.182
"30",0.462
"31",0.834
"32",0.992
"33",0.928
"34",0.686
"35",0.29
"36",0.97
"37",0.106
"38",0.376
"39",0.188
"40",0.302
"41",0.84
"42",0.656
"43",0.274
"44",0.69
"45",0.326
"46",0.74
"47",0.776
"48",0.936
"49",0.412
"50",0.688
"51",0.172
"52",0.796
"53",0.576
"54",0.492
"55",0.616
"56",0.992
"57",0.844
"58",0.076
"59",0.694
"60",0.55
"61",0.398
"62",0.18
"63",0.954
"64",0.392
"65",0.676
"66",0.386
"67",0.6
"68",0.822
"69",0.858
"70",0.574
"71",0.926
"72",0.65
"73",0.53
"74",0.402
"75",0.084
"76",0.64
"77",0.708
"78",0.57
"79",0.576
"80",0.758
"81",0.91
"82",0.084
"83",0.688
"84",0.802
"85",0.238
"86",0.968
"87",0.774
"88",0.108
"89",0.108
"90",0.996
"91",0.544
"92",0.884
"93",0.312
"94",0.214
"95",0.584
"96",0.378
"97",0.97
"98",0.986
"99",0.43
"100",0.522
"101",0.812
"102",0.414
"103",0.41
"104",0.48
"105",0.964
"106",0.062
"107",0.494
"108",0.718
"109",0.126
"110",0.454
"111",0.442
"112",0.752
"113",0.558
"114",0.584
"115",0.532
"116",0.978
"117",0.548
"118",0.936
"119",0.408
"120",0.228
"121",0.904
"122",0.136
"123",0.15
"124",0.256
"125",0.96
"126",0.22
"127",0.666
"128",0.92
"129",0.892
"130",0.426
"131",0.922
"132",0.31
"133",0.972
"134",0.462
"135",0.396
"136",0.432
"137",0.194
"138",0.906
"139",0.58
"140",0.16
"141",0.032
"142",0.336
"143",0.136
"144",0.664
"145",0.38
"146",0.604
"147",0.924
"148",0.02
"149",0.522
"150",0.46
"151",0.558
"152",0.786
"153",0.262
"154",0.548
"155",0.898
"156",0.642
"157",0.856
"158",0.844
"159",0.276
"160",0.446
"161",0.718
"162",0.056
"163",0.068
"164",0.584
"165",0.622
"166",0.878
"167",0.994
"168",0.79
"169",0.12
"170",0.728
"171",0.564
"172",0.734
"173",0.334
"174",0.488
"175",0.602
"176",0.354
"177",0.774
"178",0.582
"179",0.316
"180",0.184
"181",0.666
"182",0.464
"183",0.842
"184",0.77
"185",0.332
"186",0.866
"187",0.16
"188",0.412
"189",0.242
"190",0.846
"191",0.288
"192",0.752
"193",0.468
"194",0.508
"195",0.548
"196",0.334
"197",0.666
"198",0.558
"199",0.582
"200",0.414
"201",0.91
"202",0.48
"203",0.344
"204",0.652
"205",0.246
"206",0.72
"207",0.922
"208",0.918
"209",0.882
"210",0.784
"211",0.116
"212",0.468
"213",0.018
"214",0.576
"215",0.596
"216",0.778
"217",0.216
"218",0.594
"219",0.364
"220",0.742
"221",0.562
"222",0.02
"223",0.512
"224",0.248
"225",0.364
"226",0.254
"227",0.148
"228",0.948
"229",0.678
"230",0.566
"231",0.794
"232",0.732
"233",0.806
"234",0.284
"235",0.252
"236",0.5
"237",0.826
"238",0.428
"239",0.632
"240",0.756
"241",0.52
"242",0.898
"243",0.774
"244",0.11
"245",0.952
"246",0.96
"247",0.19
"248",0.722
"249",0.872
"250",0.736
"251",0.31
"252",0.538
"253",0.174
"254",0.218
"255",0.244
"256",0.608
"257",0.676
"258",0
"259",0.418
"260",0.31
"261",0.778
"262",0.012
"263",0.476
"264",0.144
"265",0.028
"266",0.266
"267",0.162
"268",0.438
"269",0.422
"270",0.63
"271",0.442
"272",0.684
"273",0.044
"274",0.73
"275",0.556
"276",0.308
"277",0.59
"278",0.934
"279",0.092
"280",0.658
"281",0.72
"282",0.422
"283",0.752
"284",0.01
"285",0.394
"286",0.386
"287",0.192
"288",0
"289",0.596
"290",0.568
"291",0.548
"292",0.314
"293",0.404
"294",0.302
"295",0.274
"296",0.392
"297",0.172
"298",0.742
"299",0.376
"300",0.316
"301",0.5
"302",0.892
"303",0.364
"304",0.862
"305",0.98
"306",0.462
"307",0.418
"308",0.116
"309",0.012
"310",0.082
"311",0.764
"312",0.852
"313",0.714
"314",0.354
"315",0.028
"316",0.394
"317",0.618
"318",0.934
"319",0.056
"320",0.094
"321",0.344
"322",0.916
"323",0.52
"324",0.458
"325",0.138
"326",0.224
"327",0.434
"328",0.794
"329",0.062
"330",0.978
"331",0.694
"332",0.434
"333",0.5
"334",0.19
"335",0.272
"336",0.988
"337",0.4
"338",0.972
"339",0.806
"340",0.93
"341",0.664
"342",0.176
"343",0.814
"344",0.804
"345",0.22
"346",0.686
"347",0.43
"348",0.538
"349",0.466
"350",0.278
"351",0.29
"352",0.084
"353",0.48
"354",0.126
"355",0.692
"356",0.1
"357",0.216
"358",0.346
"359",0.53
"360",0.854
"361",0.816
"362",0.186
"363",0.976
"364",0.882
"365",0.872
"366",0.068
"367",0.018
"368",0.826
"369",0.582
"370",0.78
"371",0.338
"372",0.996
"373",0.4
"374",0.508
"375",0.83
"376",0.874
"377",0.644
"378",0.682
"379",0.234
"380",0.582
"381",0.242
"382",0.284
"383",0.906
"384",0.124
"385",0.554
"386",0.382
"387",0.378
"388",0.768
"389",0.242
"390",0.684
"391",0.036
"392",0.76
"393",0.348
"394",0.498
"395",0.262
"396",0.554
"397",0.75
"398",0.386
"399",0.322
"400",0.098
"401",0.688
"402",0.602
"403",0.848
"404",0.836
"405",0.846
"406",0.594
"407",0.712
"408",0.288
"409",0.704
"410",0.382
"411",0.242
"412",0.096
"413",0.104
"414",0.846
"415",0.844
"416",0.06
"417",0.962
"418",0.1
"419",0.824
"420",0.716
"421",0.63
"422",0.142
"423",0.638
"424",0.004
"425",0.618
"426",0.736
"427",0.272
"428",0.246
"429",0.02
"430",0.068
"431",0.11
"432",0.944
"433",0.378
"434",0.068
"435",0.426
"436",0.168
"437",0.66
"438",0.514
"439",0.838
"440",0.378
"441",0.576
"442",0.994
"443",0.312
"444",0.696
"445",0.39
"446",0.014
"447",0.978
"448",0.766
"449",0.884
"450",0.726
"451",0.064
"452",0.954
"453",0.164
"454",0.258
"455",0.236
"456",0.98
"457",0.012
"458",0.296
"459",0.376
"460",0.312
"461",0.088
"462",0.434
"463",0.518
"464",0.984
"465",0.614
"466",0.678
"467",0.646
"468",0.364
"469",0.792
"470",0.534
"471",0.28
"472",0.506
"473",0.844
"474",0.52
"475",0.222
"476",0.17
"477",0.102
"478",0.526
"479",0.562
"480",0.55
"481",0.558
"482",0.704
"483",0.072
"484",0.18
"485",0.584
"486",0.444
"487",0.746
"488",0.236
"489",0.082
"490",0.22
"491",0.54
"492",0.58
"493",0.476
"494",0.812
"495",0.516
"496",0.526
"497",0.876
"498",0.324
"499",0.752
"500",0.974
"501",0.52
"502",0
"503",0.934
"504",0.728
"505",0.538
"506",0.114
"507",0.986
"508",0.282
"509",0.756
"510",0.63
"511",0.934
"512",0.616
"513",0.312
"514",0.15
"515",0.032
"516",0.464
"517",0.028
"518",0.868
"519",0.496
"520",0.206
"521",0.912
"522",0.776
"523",0.332
"524",0.704
"525",0.976
"526",0.096
"527",0.032
"528",0.536
"529",0.016
"530",0.882
"531",0.344
"532",0.81
"533",0.294
"534",0
"535",0.928
"536",0.312
"537",0.128
"538",0.72
"539",0.934
"540",0.982
"541",0.186
"542",0.578
"543",0.038
"544",0.118
"545",0.71
"546",0.424
"547",0.738
"548",0.364
"549",0.058
"550",0.57
"551",0.068
"552",0.424
"553",0.166
"554",0.214
"555",0.788
"556",0.796
"557",0.354
"558",0.782
"559",0.578
"560",0.562
"561",0.228
"562",0.14
"563",0.664
"564",0.088
"565",0.52
"566",0.852
"567",0.088
"568",0.868
"569",0.89
"570",0.508
"571",0.164
"572",0.68
"573",0.116
"574",0.598
"575",0.274
"576",0.68
"577",0.39
"578",0.796
"579",0.328
"580",0.278
"581",0.578
"582",0.452
"583",0.08
"584",0.22
"585",0.216
"586",0.872
"587",0.332
"588",0.228
"589",0.316
"590",0.476
"591",0.628
"592",0.77
"593",0.006
"594",0.062
"595",0.928
"596",0.91
"597",0.96
"598",0.378
"599",0.568
"600",0.928
"601",0.702
"602",0.122
"603",0.132
"604",0.68
"605",0.468
"606",0.09
"607",0.78
"608",0.648
"609",0.104
"610",0.682
"611",0.96
"612",0.508
"613",0.514
"614",0.486
"615",0.796
"616",0.642
"617",0.162
"618",0.464
"619",0.552
"620",0.848
"621",0.472
"622",0.026
"623",0.944
"624",0.858
"625",0.76
"626",0.02
"627",0.424
"628",0.28
"629",0.602
"630",0.978
"631",0.412
"632",0.83
"633",0.386
"634",0.452
"635",0.33
"636",0.09
"637",0.15
"638",0.394
"639",0.316
"640",0.984
"641",0.378
"642",0.564
"643",0.65
"644",0.258
"645",0.4
"646",0.718
"647",0.574
"648",0.728
"649",0.48
"650",0.228
"651",0.614
"652",0.92
"653",0.178
"654",0.514
"655",0.856
"656",0.47
"657",0.092
"658",0.418
"659",0.4
"660",0.752
"661",0.728
"662",0.844
"663",0.836
"664",0.078
"665",0.696
"666",0.298
"667",0.188
"668",0.402
"669",0.992
"670",0.392
"671",0.252
"672",0.284
"673",0.262
"674",0.34
"675",0.436
"676",0.54
"677",0.854
"678",0.626
"679",0.83
"680",0.416
"681",0.258
"682",0.848
"683",0.448
"684",0
"685",0.7
"686",0.576
"687",0.784
"688",0.214
"689",0.564
"690",0.184
"691",0.226
"692",0.016
"693",0.43
"694",0.978
"695",0.914
"696",0.488
"697",0.298
"698",0.766
"699",0.192
"700",0.53
"701",0.654
"702",0.486
"703",0.852
"704",0.114
"705",0.592
"706",0.712
"707",0.342
"708",0.806
"709",0.862
"710",0.664
"711",0.454
"712",0.448
"713",0.692
"714",0.314
"715",0.722
"716",0.906
"717",0.002
"718",0.45
"719",0.772
"720",0.266
"721",0.516
"722",0.454
"723",0.356
"724",0.606
"725",0.82
"726",0.96
"727",0.646
"728",0.406
"729",0.988
"730",0.494
"731",0.236
"732",0.16
"733",0.77
"734",0.33
"735",0.284
"736",0.062
"737",0.352
"738",0.626
"739",0.24
"740",0.48
"741",0.06
"742",0.82
"743",0.008
"744",0.242
"745",0.876
"746",0.426
"747",0.064
"748",0.24
"749",0.276
"750",0.314
"751",0.102
"752",0.44
"753",0.946
"754",0.948
"755",0.056
"756",0.818
"757",0.914
"758",0.42
"759",0.18
"760",0.838
"761",0.844
"762",0.356
"763",0.534
"764",0.666
"765",0.974
"766",0.262
"767",0.35
"768",0.492
"769",0.466
"770",0.574
"771",0.53
"772",0.622
"773",0.974
"774",0.318
"775",0.738
"776",0
"777",0.258
"778",0.904
"779",0.358
"780",0.832
"781",0.442
"782",0.96
"783",0.332
"784",0.95
"785",0.392
"786",0.806
"787",0.536
"788",0.074
"789",0.91
"790",0.982
"791",0.11
"792",0.146
"793",0.976
"794",0.942
"795",0.666
"796",0.944
"797",0.522
"798",0.136
"799",0.462
"800",0.87
"801",0.908
"802",0.744
"803",0.682
"804",0.766
"805",0.494
"806",0.062
"807",0.268
"808",0.866
"809",0.994
"810",0.19
"811",0.822
"812",0.502
"813",0.056
"814",0.974
"815",0.946
"816",0.604
"817",0.686
"818",0.306
"819",0.736
"820",0.948
"821",0.45
"822",0.874
"823",0.002
"824",0.56
"825",0.186
"826",0.744
"827",0.904
"828",0.686
"829",0.612
"830",0.202
"831",0.036
"832",0.06
"833",0.828
"834",0.958
"835",0.318
"836",0.074
"837",0.878
"838",0.156
"839",0.71
"840",0.374
"841",0.484
"842",0.34
"843",0
"844",0.488
"845",0.78
"846",0.866
"847",0.218
"848",0.732
"849",0.962
"850",0.84
"851",0.35
"852",0.818
"853",0.358
"854",0.902
"855",0.366
"856",0.912
"857",0
"858",0.25
"859",0.338
"860",0.67
"861",0.258
"862",0.422
"863",0.964
"864",0.87
"865",0.832
"866",0.596
"867",0.262
"868",0.114
"869",0.43
"870",0.924
"871",0.552
"872",0.554
"873",0.99
"874",0.286
"875",0.868
"876",0.322
"877",0.25
"878",0.262
"879",0.156
"880",0.244
"881",0.476
"882",0.752
"883",0.394
"884",0.406
"885",0.876
"886",0.328
"887",0
"888",0.316
"889",0.438
"890",0.942
"891",0.114
"892",0.474
"893",0.31
"894",0.586
"895",0.364
"896",0.116
"897",0.52
"898",0.466
"899",0.078
"900",0.414
"901",0.01
"902",0.764
"903",0.558
"904",0.024
"905",0.018
"906",0.46
"907",0.496
"908",0.26
"909",0.236
"910",0.952
"911",0.114
"912",0.44
"913",0.478
"914",0.844
"915",0.306
"916",0.372
"917",0.86
"918",0.378
