"","x"
"1",3.41045646714822e-10
"2",0.17497314767939
"3",7.54793555231672e-11
"4",6.9067510895286e-12
"5",1.37708938860591e-09
"6",4.5105303849358e-08
"7",3.02571938834281e-06
"8",5.64961292272495e-07
"9",5.40741245220378e-06
"10",6.37125235528268e-11
"11",3.99231609314908e-14
"12",6.89543063028309e-12
"13",6.83636517844003e-14
"14",2.64116875201504e-14
"15",2.21149191306812e-05
"16",2.70275373271496e-07
"17",1.13303585208449e-10
"18",2.23757563851106e-12
"19",1.04328614691448e-11
"20",4.6552498862205e-12
"21",4.84910077025792e-09
"22",4.07114721959544e-10
"23",3.63211954894588e-12
"24",1.19455527145568e-10
"25",1.63770917369611e-13
"26",5.13199230484803e-13
"27",5.54115617550454e-12
"28",1.42279926002558e-12
"29",1.32347491521e-13
"30",1.54299434990949e-09
"31",1.25143105242879e-08
"32",4.43992207564935e-10
"33",4.9358397985576e-13
"34",2.87633285496415e-13
"35",3.15871090449533e-08
"36",1.03362222072884e-14
"37",0.000223992082843519
"38",3.02011241072889e-09
"39",4.76633659175359e-12
"40",3.54429751114547e-12
"41",2.95075140770474e-13
"42",1.68906494385713e-10
"43",1.29297014971649e-09
"44",7.49185828606364e-13
"45",4.3930701940848e-11
"46",5.73303671707047e-07
"47",1.43583420629417e-11
"48",1.26625964091823e-07
"49",2.18457949865262e-09
"50",6.38778005560834e-08
"51",5.05072489794879e-14
"52",1.01931125634868e-06
"53",1.3932366922837e-10
"54",7.09319530583294e-10
"55",5.80486398745459e-07
"56",1.55591650690051e-10
"57",1.6883694008005e-07
"58",4.83277155098132e-11
"59",6.85407250952234e-12
"60",2.64703999462303e-11
"61",3.11003212766881e-09
"62",6.40758759732821e-12
"63",4.05696091498975e-14
"64",4.72947113685141e-13
"65",1.21893940303672e-11
"66",5.26938723687323e-11
"67",1.06188520881207e-11
"68",3.37966254877224e-11
"69",2.24431005077952e-11
"70",4.79011658203406e-10
"71",3.57259816477394e-10
"72",1.57279320270208e-11
"73",9.83306590874814e-10
"74",1.14000275415378e-10
"75",1.51793506751323e-12
"76",3.44282430095245e-13
"77",3.62704291078773e-10
