"","x"
"1",0.002
"2",0.696
"3",0.278
"4",0.824
"5",0.67
"6",1
"7",0.234
"8",0.348
"9",0.076
"10",0.994
"11",0.836
"12",0.92
"13",0.13
"14",0.026
"15",0.32
"16",0.628
"17",0.788
"18",0.424
"19",0.314
"20",0.406
"21",0.768
"22",0.53
"23",0.028
"24",0.004
"25",0.286
"26",0.984
"27",0.426
"28",0.242
"29",0.284
"30",0.468
"31",0.892
"32",0.954
"33",0.908
"34",0.774
"35",0.286
"36",0.972
"37",0.196
"38",0.466
"39",0.25
"40",0.134
"41",0.828
"42",0.586
"43",0.22
"44",0.688
"45",0.242
"46",0.584
"47",0.774
"48",0.978
"49",0.456
"50",0.722
"51",0.338
"52",0.85
"53",0.498
"54",0.52
"55",0.684
"56",0.978
"57",0.96
"58",0.044
"59",0.696
"60",0.532
"61",0.454
"62",0.288
"63",0.994
"64",0.378
"65",0.764
"66",0.396
"67",0.566
"68",0.874
"69",0.798
"70",0.58
"71",0.892
"72",0.664
"73",0.522
"74",0.35
"75",0.134
"76",0.76
"77",0.782
"78",0.562
"79",0.5
"80",0.758
"81",0.824
"82",0.074
"83",0.886
"84",0.83
"85",0.138
"86",0.976
"87",0.782
"88",0.09
"89",0.278
"90",1
"91",0.62
"92",0.844
"93",0.302
"94",0.102
"95",0.602
"96",0.296
"97",0.964
"98",0.982
"99",0.418
"100",0.51
"101",0.872
"102",0.432
"103",0.358
"104",0.342
"105",0.976
"106",0.036
"107",0.434
"108",0.726
"109",0.138
"110",0.34
"111",0.458
"112",0.77
"113",0.598
"114",0.538
"115",0.528
"116",0.978
"117",0.576
"118",0.862
"119",0.216
"120",0.224
"121",0.852
"122",0.168
"123",0.098
"124",0.26
"125",0.964
"126",0.362
"127",0.886
"128",0.906
"129",0.962
"130",0.36
"131",0.948
"132",0.37
"133",0.878
"134",0.392
"135",0.448
"136",0.472
"137",0.272
"138",0.9
"139",0.654
"140",0.212
"141",0.138
"142",0.246
"143",0.182
"144",0.628
"145",0.328
"146",0.582
"147",0.898
"148",0.076
"149",0.566
"150",0.446
"151",0.568
"152",0.832
"153",0.268
"154",0.492
"155",0.952
"156",0.698
"157",0.778
"158",0.844
"159",0.392
"160",0.448
"161",0.722
"162",0.028
"163",0.024
"164",0.602
"165",0.578
"166",0.906
"167",0.974
"168",0.75
"169",0.068
"170",0.646
"171",0.542
"172",0.598
"173",0.412
"174",0.502
"175",0.52
"176",0.288
"177",0.706
"178",0.544
"179",0.408
"180",0.144
"181",0.626
"182",0.448
"183",0.766
"184",0.866
"185",0.286
"186",0.9
"187",0.186
"188",0.442
"189",0.154
"190",0.826
"191",0.256
"192",0.716
"193",0.46
"194",0.612
"195",0.578
"196",0.404
"197",0.732
"198",0.682
"199",0.57
"200",0.472
"201",0.866
"202",0.528
"203",0.252
"204",0.648
"205",0.198
"206",0.768
"207",0.92
"208",0.86
"209",0.856
"210",0.794
"211",0.156
"212",0.392
"213",0.022
"214",0.56
"215",0.522
"216",0.804
"217",0.354
"218",0.55
"219",0.362
"220",0.796
"221",0.604
"222",0.012
"223",0.498
"224",0.238
"225",0.358
"226",0.182
"227",0.356
"228",0.904
"229",0.63
"230",0.594
"231",0.92
"232",0.804
"233",0.768
"234",0.368
"235",0.344
"236",0.55
"237",0.744
"238",0.328
"239",0.696
"240",0.708
"241",0.51
"242",0.882
"243",0.758
"244",0.098
"245",0.942
"246",0.968
"247",0.23
"248",0.896
"249",0.928
"250",0.704
"251",0.308
"252",0.488
"253",0.248
"254",0.158
"255",0.278
"256",0.698
"257",0.698
"258",0.016
"259",0.422
"260",0.308
"261",0.856
"262",0.004
"263",0.462
"264",0.19
"265",0.096
